block,changed_label,oof_probability,predicted_at_threshold
507,1,0.41911551396679175,1
508,0,0.04258237403984714,0
509,1,0.42946014438654667,1
510,0,0.437612655935175,1
511,1,0.6954576128137699,1
512,1,0.6542810422433883,1
513,1,0.6810257382735644,1
514,1,0.6966577206339011,1
515,0,0.5772915027417141,1
516,0,0.609783911464511,1
517,0,0.05190882469126591,0
518,1,0.5358964282977369,1
519,1,0.6188353289777002,1
520,1,0.6256254031250854,1
521,1,0.3422145056334011,1
522,1,0.2851334216202152,1
523,1,0.3188337399884485,1
524,1,0.36448160920811273,1
525,0,0.32173008973034284,1
526,1,0.24773468508001972,1
527,0,0.4955614357062679,1
528,1,0.4247603418351739,1
529,0,0.3487138947574308,1
530,1,0.39461594708904396,1
531,0,0.2928317809713801,1
532,1,0.8207385967406473,1
533,1,0.5327543550893588,1
534,1,0.7308229168943956,1
535,1,0.591274747822416,1
536,0,0.7830107802071943,1
537,1,0.7213466168580512,1
538,0,0.251037801374283,1
539,0,0.024850479730526415,0
540,0,0.06579608336412587,0
541,1,0.5345200593199373,1
542,1,0.6065736702224553,1
543,1,0.49831854004939313,1
544,0,0.21020737281615676,1
545,1,0.5925072383618952,1
546,0,0.10528756297345893,0
547,1,0.6063646200795947,1
548,0,0.5841151884347918,1
549,0,0.34647865417741786,1
550,0,0.5493898486867685,1
551,1,0.3269439021286639,1
552,0,0.1426173427710015,0
553,0,0.08604432798666638,0
554,0,0.2382020701177367,1
555,0,0.4333644604306481,1
556,0,0.4823381944309104,1
557,0,0.532864060888734,1
558,1,0.5696320600456152,1
559,1,0.43349118127736486,1
560,1,0.27813765032318183,1
561,0,0.1054091434212949,0
562,1,0.4066857082200768,1
563,0,0.08456453304088131,0
564,1,0.41234607647316224,1
565,1,0.377230976072304,1
566,1,0.2844508504100259,1
567,0,0.5889654426933914,1
568,1,0.35388365905030095,1
569,0,0.335179108494383,1
570,1,0.7207367313026212,1
571,0,0.12494240469289057,0
572,1,0.7653976140014512,1
573,1,0.5610340816808506,1
574,1,0.6314827783327723,1
575,1,0.6074130389441232,1
576,1,0.8071383288780802,1
577,1,0.8652643221236667,1
578,1,0.47972761104677764,1
579,0,0.49138132349033886,1
580,1,0.6381726439330109,1
581,1,0.6355711986000103,1
582,1,0.9032665825167973,1
583,1,0.7435899037749168,1
584,1,0.7388954096191487,1
585,1,0.5274454278974722,1
586,1,0.3804855460763562,1
587,1,0.5718224852363609,1
588,1,0.5956547254501866,1
589,1,0.7102661636914503,1
590,1,0.7352491578290427,1
591,0,0.8445492791902791,1
592,1,0.7095779742891117,1
593,1,0.6350723127391743,1
594,0,0.4291781881158152,1
595,1,0.8145141839748216,1
596,1,0.8408130459788908,1
597,1,0.8077519156302525,1
598,0,0.6891964064719053,1
599,1,0.3946426292692439,1
600,0,0.6528363397937729,1
601,1,0.5840393201666105,1
602,1,0.7442041834292386,1
603,1,0.7865944521732422,1
604,0,0.8647332874729844,1
605,1,0.6060375205053599,1
606,1,0.7094553276265533,1
607,1,0.777459474280401,1
608,1,0.40463357135912525,1
609,1,0.21849128802683163,1
610,1,0.3887461405036902,1
611,1,0.5972526935110082,1
612,0,0.617690385332356,1
613,0,0.47004284300615407,1
614,1,0.7522510381424407,1
615,1,0.30357241427098763,1
616,1,0.30562584556014427,1
617,0,0.4683670850805621,1
618,1,0.7717541734600756,1
619,1,0.744733121700849,1
620,1,0.6451450790279186,1
621,1,0.7553909298487524,1
622,1,0.3531146308417735,1
623,0,0.5427684011982796,1
624,0,0.6789829005016359,1
625,1,0.6670998603612801,1
626,1,0.5474555217543651,1
627,1,0.6431814997620251,1
628,0,0.7669127356572748,1
629,0,0.6059087900431516,1
630,1,0.7081699843503747,1
631,0,0.29287520258016325,1
632,1,0.8433921432752249,1
633,1,0.7095909709991621,1
634,0,0.751675476792794,1
635,1,0.8944186394038917,1
636,0,0.456161090046929,1
637,0,0.4676779685514889,1
638,0,0.7931359701761154,1
639,0,0.7206631748738483,1
640,0,0.7241171059151273,1
641,0,0.6250759067092329,1
642,0,0.6291993567957355,1
643,0,0.6770183722474934,1
644,0,0.6657288001348936,1
645,0,0.5110433099964145,1
646,0,0.8255876342560317,1
647,0,0.8804178157085253,1
648,0,0.42149323012873174,1
649,0,0.7917046212155616,1
650,0,0.5019991773306486,1
651,0,0.20269859664008855,1
652,0,0.8076894368339338,1
653,0,0.6285440542049627,1
654,0,0.7584447024613199,1
655,0,0.6498031445550618,1
656,0,0.5686720398862926,1
657,0,0.886984306274295,1
658,0,0.6463331580737364,1
659,0,0.6216981708044121,1
660,0,0.7091520506133756,1
661,0,0.6776531475694347,1
662,0,0.5259178653056239,1
663,0,0.7605233192966312,1
664,0,0.5641253244015592,1
665,0,0.8284087582016559,1
666,0,0.8324047667804275,1
667,0,0.8755524548152732,1
668,0,0.7634564767303498,1
669,0,0.46951866164656303,1
670,0,0.6822468302142736,1
671,0,0.6670708628693404,1
672,0,0.6954199601106741,1
673,0,0.5081700518684051,1
674,0,0.8762209390708859,1
675,0,0.7692556736741797,1
676,0,0.41796874891939084,1
677,0,0.6159401872259984,1
678,0,0.8693825027938732,1
679,0,0.8896472316189638,1
680,1,0.6763987039132884,1
681,1,0.5198942637803796,1
682,1,0.49681897955335363,1
683,0,0.28401771156804934,1
684,1,0.4280036699018556,1
685,1,0.35588694982246577,1
686,1,0.410131185927377,1
687,1,0.49290665725787725,1
688,1,0.33189752373858034,1
689,0,0.5000249995380409,1
690,0,0.28698825310441983,1
691,0,0.19510368076039086,1
692,0,0.3192947190820151,1
693,0,0.5198552655848115,1
694,0,0.5707384717572583,1
695,0,0.45692312925836115,1
696,0,0.40078243936365937,1
697,0,0.41106486743567466,1
698,0,0.2556303842234446,1
699,0,0.14290785868487532,0
700,0,0.223214237776743,1
701,0,0.2123981452322653,1
702,1,0.401029871165128,1
703,1,0.4288205631966661,1
704,1,0.1553465489841507,1
705,1,0.2173238054552909,1
706,1,0.3622862878287264,1
707,1,0.35673555309891924,1
708,1,0.4826168710763525,1
709,1,0.21093910845002845,1
710,0,0.5292200599246324,1
711,0,0.031453767912243254,0
712,0,0.029925292406346386,0
713,1,0.35811999990803345,1
714,1,0.4176353609450251,1
715,1,0.38299135114651706,1
716,1,0.4922795809099426,1
717,1,0.036070320470436304,0
718,1,0.8169634525032656,1
719,1,0.5441087860885174,1
720,1,0.609478091916053,1
721,1,0.60981705008495,1
722,1,0.7696840443915913,1
723,1,0.7898313458448969,1
724,1,0.26115475001852034,1
725,1,0.6450003309853659,1
726,1,0.4759708845317342,1
727,1,0.50535762333378,1
728,1,0.8415604465304399,1
729,1,0.5932881712688466,1
730,1,0.5063064507848158,1
731,1,0.5345947202113367,1
732,1,0.34517593225615534,1
733,1,0.3598534492525436,1
734,1,0.29059817907209157,1
735,1,0.6195910541414533,1
